,FAs,Soft Suff,Soft Comp
0,Input X Gradient,0.0022637436490346,
1,Integrated Gradients,0.0034955872172711,
2,Gradient Shap,0.0026631502785047,
3,Attention Rollout,0.0037218227042722,
4,Attention Last,0.0018477138426602,
5,Attention,0.0021154813425304,
6,Ours,0.0060718929819852,
0,Input X Gradient,,0.0142172808979468
1,Integrated Gradients,,0.0133390698295523
2,Gradient Shap,,0.0135793828451934
3,Attention Rollout,,0.0143610423689095
4,Attention Last,,0.0098473796419179
5,Attention,,0.0142514389562693
6,Ours,,0.4444340129336113
