,FAs,Soft Suff,Soft Comp
0,Input X Gradient,0.00033588060425769996,
1,Integrated Gradients,-0.00015107073985860006,
2,Gradient Shap,0.0009503157890923999,
3,Attention Rollout,0.00035453393567909993,
4,Attention Last,-0.0003709489468363,
5,Attention,-0.0006755779739166,
6,Ours,0.004647752368703,
0,Input X Gradient,,0.008558530259670794
1,Integrated Gradients,,0.055256468500559694
2,Gradient Shap,,0.04981849629717469
3,Attention Rollout,,-0.021887391010281795
4,Attention Last,,-0.0008412990604618059
5,Attention,,0.0058000903480947
6,Ours,,0.3809666855359704
