,FAs,Soft Suff,Soft Comp
0,Input X Gradient,0.0053589271096105,
1,Integrated Gradients,0.0059401970561987,
2,Gradient Shap,0.0067805941427784,
3,Attention Rollout,0.0023399125135652,
4,Attention Last,0.0025208407868438,
5,Attention,0.0044000939391372,
6,Ours,0.0045882270627524,
0,Input X Gradient,,0.0001929256648071
1,Integrated Gradients,,5.554258134515039e-05
2,Gradient Shap,,4.15381256193771e-05
3,Attention Rollout,,7.98182598464883e-05
4,Attention Last,,5.248445238422369e-05
5,Attention,,2.660336320425704e-05
6,Ours,,0.2751640592008359
