,FAs,Soft Suff,Soft Comp
0,Input X Gradient,-0.0015737730642788998,
1,Integrated Gradients,0.0014040034984636,
2,Gradient Shap,-0.0003223625290865999,
3,Attention Rollout,0.0011099280563557,
4,Attention Last,-0.0021958221869435,
5,Attention,0.000799715881863,
6,Ours,0.0034434889375658997,
0,Input X Gradient,,0.006161102722804501
1,Integrated Gradients,,0.00016567180411
2,Gradient Shap,,0.0008055774318028999
3,Attention Rollout,,0.0022532260234075004
4,Attention Last,,0.0015981564308540997
5,Attention,,0.0007835099908047004
6,Ours,,0.2752192420617149
