,Method,5% Suff,10% Suff,20% Suff,30% Suff,Mean Suff,Soft Suff,5% Comp,10% Comp,20% Comp,30% Comp,Mean Comp,Soft Comp
0,Inseq Ig,1.344826662043094,1.4827147620510472,1.360633465885457,1.5513711334368756,1.429811442153149,1.1636041671546624,,,,,,
1,Inseq Embgrad,0.206437571041408,0.29579922308968665,0.22289040528416174,0.21714049312493933,0.23099257244722549,0.563010075566072,,,,,,
2,Inseq Signed,0.24019037569121904,0.2370744244871162,0.2588498744903086,0.24125611576693093,0.2440562447901537,0.5057720333417196,,,,,,
3,Rollout Attention,0.3694048285807948,0.4401733346112681,0.6532486023181644,0.4458021049543287,0.45699410942275615,0.42689012552862227,,,,,,
4,Last Attention,1.7305737531417071,1.5744115089655235,1.4113744105035968,1.853111261667927,1.625247757185068,0.6371140324641725,,,,,,
5,All Attention,3.3377874810018278,3.575011082230542,2.902189994281761,3.7602417987756733,3.3618338455404415,0.6170138443073098,,,,,,
6,Ours,2.720349087337229,2.1748733573261885,2.2140813620362887,3.143286448716694,2.5043987965838306,7.1287806294013025,,,,,,
0,Inseq Ig,,,,,,,1.5815084087809628,1.4447852258101013,1.3796898507172337,1.39572471458518,1.4462746705136715,1.332067674905261
1,Inseq Embgrad,,,,,,,1.546489143988101,1.8081128425396817,1.3596043705556706,1.6911914017000866,1.5832204117224622,2.381341882570381
2,Inseq Signed,,,,,,,1.7518844587789237,1.5533299047537843,1.56994444983393,1.6640454986973252,1.6309871482301885,2.5125860899231958
3,Rollout Attention,,,,,,,0.7870343432186756,0.7585983041402784,0.8132905717645041,0.7606973496875458,0.7792760267574325,1.6268659929719327
4,Last Attention,,,,,,,1.9568855492187252,2.123223148638115,1.7898797065314211,1.9206802306128548,1.940481755586694,1.4817442395229508
5,All Attention,,,,,,,1.698178460299846,1.935668473583279,1.6833619021815163,1.880750202717658,1.7927285777437767,1.0318292945176732
6,Ours,,,,,,,1.9197961018166698,2.0767496367651206,2.2816670250340745,1.9093471610824009,2.0362186160699873,81.90160580953386
