,FAs,5% Suff,10% Suff,20% Suff,Mean Suff,Soft Suff,5% Comp,10% Comp,20% Comp,Mean Comp,Soft Comp
0,Input X Gradient,0.001038325386625901,-0.020123388807764903,-0.0436429265636274,-0.02090932999492213,-0.0015737730642788998,,,,,
1,Integrated Gradients,0.0267499217665014,0.0259017035788,0.012491121993986998,0.021714249113096135,0.0016559701690367998,,,,,
2,Gradient Shap,0.014711420188092999,0.018166590475744003,0.0316054196029139,0.021494476755583636,-0.0003223625290865999,,,,,
3,Attention Rollout,0.0002546256869590015,-0.029910056713304902,-0.014735036939317596,-0.014796822655221167,-0.0009432804864821,,,,,
4,Attention Last,0.0205341049102925,0.024160266985918,0.0599063027059961,0.03486689153406886,0.0008152794986516002,,,,,
5,Attention,0.029026244275502003,0.0337195690590728,0.1725557522147776,0.07843385518311746,0.0024882040425733,,,,,
6,Ours,0.0627386992999977,0.05593989863309571,0.06986362480610561,0.062847407579733,0.0029655205381837,,,,,
0,Input X Gradient,,,,,,-0.04671479163568848,0.3566388865084611,0.1799646695939392,0.16329625482223725,0.006161102722804501
1,Integrated Gradients,,,,,,0.1760935848228487,0.2298035285884329,0.23177824571185968,0.2125584530410471,0.00026991396896689987
2,Gradient Shap,,,,,,0.3577670048430417,0.3993942879651206,0.2931462708862548,0.35010252123147234,0.0008055774318028999
3,Attention Rollout,,,,,,-0.01885151686442499,-0.10635899948748262,-0.018924933473482786,-0.04804514994179676,0.0015017332920077
4,Attention Last,,,,,,0.23728167902128097,0.35880066930946086,0.22455940349071624,0.2735472506071526,0.0023844373718556995
5,Attention,,,,,,0.1008933127088886,0.3932361851190353,0.44623674590004886,0.3134554145759909,0.0010478278076500001
6,Ours,,,,,,0.3678507880731355,0.4601290402570757,0.4214237012706196,0.416467843200277,0.27098795711025564
