,FAs,Soft Suff,Soft Comp
0,Input X Gradient,0.0020108102990806,
1,Integrated Gradients,0.0018540224366459,
2,Gradient Shap,0.0013964674950899,
3,Attention Rollout,0.0014776797624567,
4,Attention Last,0.00143807781675,
5,Attention,0.0014717765794405,
6,Ours,0.0130964883310268,
0,Input X Gradient,,0.0099233672415848
1,Integrated Gradients,,0.0067255850533347
2,Gradient Shap,,0.0059603426333898
3,Attention Rollout,,0.0023050006668599
4,Attention Last,,0.0009608967975043
5,Attention,,0.0013152102540064
6,Ours,,0.0627105962910074
