,FAs,Soft Suff,Soft Comp
0,Input X Gradient,-0.0006437867025924999,
1,Integrated Gradients,0.00044647239597790005,
2,Gradient Shap,4.4179044617599964e-05,
3,Attention Rollout,-0.00019684562951090008,
4,Attention Last,0.00019086001186589992,
5,Attention,-5.9410173763300165e-05,
6,Ours,0.0041780452546244,
0,Input X Gradient,,0.061772910945041296
1,Integrated Gradients,,0.0341037124403364
2,Gradient Shap,,0.030344775279231295
3,Attention Rollout,,-0.0004778548421728
4,Attention Last,,0.003969659919735202
5,Attention,,0.002596168203692
6,Ours,,0.1542373188836657
