,Method,5% Suff,10% Suff,20% Suff,30% Suff,Mean Suff,Soft Suff,5% Comp,10% Comp,20% Comp,30% Comp,Mean Comp,Soft Comp
0,Norm,0.0020428059651554,0.0098437050079142,0.027706220525509903,0.0271330920590933,0.016681455889418197,-6.248162700999739e-07,,,,,,
1,Input X Gradient,0.0050213399121983,0.008592122273272,0.004201855071600303,0.010402930401951005,0.007054561914755404,6.091617839329997e-05,,,,,,
2,Integrated Gradients,0.00015787343508489975,0.007132906067852999,0.029683285305022497,0.0335752740100976,0.0176373347045145,0.00015994496005119997,,,,,,
3,Gradient Shap,0.0038921286780969995,0.0099110411685465,0.032201286519327,0.022361266866543404,0.01709143080812847,-0.00018726502733420005,,,,,,
4,Attention Rollout,0.0201383740574692,0.0026751540738542984,0.001013478569494998,-0.005124075875051003,0.004675732706441876,-0.0004179045675293001,,,,,,
5,Attention Last,0.021538802656617798,0.0381330927244456,0.044185423347476396,0.049971215970447104,0.03845713367474672,-4.528024731259995e-05,,,,,,
6,Attention,0.0109615550749308,0.0356622887880733,0.04625925723341,0.043918856703851296,0.03420048945006635,7.1967533152999e-06,,,,,,
7,Ours,0.004287878632641301,0.010561123668493799,0.008740322140702101,0.019571682262954797,0.010790251676198001,0.0023157890220438,,,,,,
0,Norm,,,,,,,0.17802527234576526,0.062398286623200905,0.06214744345872991,0.05296108660249543,0.08888302225754774,0.0182743337403524
1,Input X Gradient,,,,,,,0.1410957204394815,0.09813495831603924,0.03162989103262204,0.01883365434287676,0.07242355603275485,0.0028582886851784978
2,Integrated Gradients,,,,,,,0.1606136930235158,0.06596711372856079,0.055381729023725734,0.0626688429319684,0.08615784467694276,0.05748461873570129
3,Gradient Shap,,,,,,,0.162508306836736,0.11229163974783085,0.06929585291990015,0.043656630489327775,0.09693810749844878,0.0347720757363424
4,Attention Rollout,,,,,,,0.215867937421669,0.11423726832961933,0.012044470494777526,-0.022481107709729886,0.07991714213408385,-0.00045970839973559843
5,Attention Last,,,,,,,0.13152832538277948,0.14431495029667119,0.07688015912204793,0.06081746769398566,0.10338522562387109,-0.0025935084943164988
6,Attention,,,,,,,0.1696446921812932,0.13246661386914926,0.07941339129680036,0.06705474219314067,0.11214485988509582,-0.0019483391596850988
7,Ours,,,,,,,0.19033978065552049,0.09072297101880067,0.03431388806986102,0.03147356680939284,0.08671255163839375,0.0830530019849516
