,FAs,Soft Suff,Soft Comp
0,Input X Gradient,0.0053655666864947,
1,Integrated Gradients,0.0056307292006111,
2,Gradient Shap,0.0063637454081632,
3,Attention Rollout,0.0102116848448135,
4,Attention Last,0.0104889192923824,
5,Attention,0.0093474726353805,
6,Ours,0.0177119275641989,
0,Input X Gradient,,0.0011677398790856
1,Integrated Gradients,,0.0006973702900716
2,Gradient Shap,,0.0011980167151763
3,Attention Rollout,,7.998967678347014e-05
4,Attention Last,,8.330400776012284e-05
5,Attention,,8.685209527767842e-05
6,Ours,,0.145107287401932
