,FAs,Soft Suff,Soft Comp
0,Input X Gradient,-0.6484579308246544,
1,Integrated Gradients,-0.512672655875117,
2,Gradient Shap,-0.39796136032382906,
3,Attention Rollout,-0.08027304825430859,
4,Attention Last,0.16975700887359665,
5,Attention,-0.033768363941122335,
6,Ours,0.4916621171169207,
0,Input X Gradient,,2.640455018162317
1,Integrated Gradients,,2.1646465182521295
2,Gradient Shap,,2.8230757630293146
3,Attention Rollout,,-0.008062908753310886
4,Attention Last,,0.05173968446793102
5,Attention,,0.0462260365398561
6,Ours,,7.556456912438716
