,FAs,5% Suff,10% Suff,20% Suff,Mean Suff,Soft Suff,5% Comp,10% Comp,20% Comp,Mean Comp,Soft Comp
0,Input X Gradient,-0.008106265905139801,-0.012675737212022399,-0.0041811521494328,-0.008321051755531664,-0.0023155270521829996,,,,,
1,Integrated Gradients,0.004326339324549299,-0.0038804662938740006,0.003636640390504299,0.001360837807059867,-0.0016288898544375,,,,,
2,Gradient Shap,-0.007341855265646102,-0.004576506530172001,-0.0013462108859509034,-0.004421524227256338,-0.0029294841087532,,,,,
3,Attention Rollout,-0.009778596497958399,-0.002797843816816005,-0.015754267173686602,-0.009443569162820332,0.00025584520305149943,,,,,
4,Attention Last,0.040004777424468896,0.0610122721410855,0.07526744481380031,0.058761498126451574,0.0004450423277760993,,,,,
5,Attention,0.0340009127874229,0.1407020995345829,0.1598201857326224,0.11150773268487607,0.0006534518254748007,,,,,
6,Ours,0.025051359269329297,0.0509201882810716,0.0796226909971359,0.05186474618251228,0.0042704897391791,,,,,
0,Input X Gradient,,,,,,0.4188248699062664,0.30104917482523497,0.153699643374283,0.2911912293685947,0.0248944736093848
1,Integrated Gradients,,,,,,0.41456049416062557,0.30101194190697894,0.20398706438321446,0.3065198334836062,0.0132139440501034
2,Gradient Shap,,,,,,0.3859905798171131,0.31844142354503746,0.12584236114425895,0.2767581215021366,0.0177617569737073
3,Attention Rollout,,,,,,-0.09304605126850732,-0.08452847057740032,0.03710738136758884,-0.046822380159439625,0.0005134858873996999
4,Attention Last,,,,,,0.12260601852339609,0.22095292106432018,0.1892337569650252,0.17759756551758044,0.00011025836616739958
5,Attention,,,,,,0.4911303334476889,0.435184254615299,0.22016225385433152,0.3821589473057731,-0.00010530054879430081
6,Ours,,,,,,0.46669730159348743,0.37754403557815347,0.1956057641986102,0.34661570045675044,0.25264827133774637
