,FAs,Soft Suff,Soft Comp
0,Input X Gradient,0.0269998805582625,
1,Integrated Gradients,0.0458728983224827,
2,Gradient Shap,0.0232319764445646,
3,Attention Rollout,0.009092812360288,
4,Attention Last,0.0122730792253436,
5,Attention,0.0090076260745201,
6,Ours,0.0438975831385212,
0,Input X Gradient,,0.0032082413609652
1,Integrated Gradients,,0.0839244369442729
2,Gradient Shap,,0.0015099563879741
3,Attention Rollout,,0.0006610475008502
4,Attention Last,,0.0004327251531454
5,Attention,,0.0003848407948881
6,Ours,,0.2043001862952902
