,FAs,Soft Suff,Soft Comp
0,Input X Gradient,0.7837923019309748,
1,Integrated Gradients,1.9231807618111987,
2,Gradient Shap,0.4973752423703137,
3,Attention Rollout,0.11356515324802514,
4,Attention Last,0.303306252432884,
5,Attention,0.6796457705147265,
6,Ours,1.7639053777195541,
0,Input X Gradient,,1.6520443910816074
1,Integrated Gradients,,4.885189435806379
2,Gradient Shap,,0.9480527123297107
3,Attention Rollout,,0.01542337908902713
4,Attention Last,,-0.349644982263953
5,Attention,,-0.6711984144028678
6,Ours,,5.477141140327457
