,FAs,Soft Suff,Soft Comp,Model
0,Input X Gradient,0.15221244283564012,,OPT 350M
1,Integrated Gradients,-0.06721528559799919,,OPT 350M
2,Gradient Shap,-0.6812935246085006,,OPT 350M
3,Attention Rollout,0.21091732060939625,,OPT 350M
4,Attention Last,-0.7393604251775178,,OPT 350M
5,Attention,-0.24830214529721206,,OPT 350M
6,Ours,0.9324013146761022,,OPT 350M
0,Input X Gradient,,0.48966019596405885,OPT 350M
1,Integrated Gradients,,0.7899673474278376,OPT 350M
2,Gradient Shap,,0.1505669581572181,OPT 350M
3,Attention Rollout,,-0.19192183348262545,OPT 350M
4,Attention Last,,-0.29469795912618213,OPT 350M
5,Attention,,-0.3129647551675592,OPT 350M
6,Ours,,4.074454952926668,OPT 350M
0,Input X Gradient,0.14543691883736956,,GPT2 354M
1,Integrated Gradients,0.2657301495739686,,GPT2 354M
2,Gradient Shap,-0.41920094879213204,,GPT2 354M
3,Attention Rollout,-0.12486717684804144,,GPT2 354M
4,Attention Last,-0.09824903523543242,,GPT2 354M
5,Attention,-0.13692797113203253,,GPT2 354M
6,Ours,2.089990815853427,,GPT2 354M
0,Input X Gradient,,1.7925716548360215,GPT2 354M
1,Integrated Gradients,,1.8269499526683288,GPT2 354M
2,Gradient Shap,,1.8670396010453534,GPT2 354M
3,Attention Rollout,,0.4869561256265906,GPT2 354M
4,Attention Last,,-0.28054709270586187,GPT2 354M
5,Attention,,-0.22640306275172847,GPT2 354M
6,Ours,,4.009474088961964,GPT2 354M
0,Input X Gradient,-0.6484579308246544,,GPT2 1.5B
1,Integrated Gradients,-0.512672655875117,,GPT2 1.5B
2,Gradient Shap,-0.39796136032382906,,GPT2 1.5B
3,Attention Rollout,-0.08027304825430859,,GPT2 1.5B
4,Attention Last,0.16975700887359665,,GPT2 1.5B
5,Attention,-0.033768363941122335,,GPT2 1.5B
6,Ours,0.4916621171169207,,GPT2 1.5B
0,Input X Gradient,,2.640455018162317,GPT2 1.5B
1,Integrated Gradients,,2.1646465182521295,GPT2 1.5B
2,Gradient Shap,,2.8230757630293146,GPT2 1.5B
3,Attention Rollout,,-0.008062908753310886,GPT2 1.5B
4,Attention Last,,0.05173968446793102,GPT2 1.5B
5,Attention,,0.0462260365398561,GPT2 1.5B
6,Ours,,7.556456912438716,GPT2 1.5B
0,Input X Gradient,-0.6169121220760424,,OPT 1.3B
1,Integrated Gradients,0.6179603163284493,,OPT 1.3B
2,Gradient Shap,-0.5884645879747891,,OPT 1.3B
3,Attention Rollout,-0.1930602654722272,,OPT 1.3B
4,Attention Last,0.08155151945792151,,OPT 1.3B
5,Attention,0.007619357496965214,,OPT 1.3B
6,Ours,0.4974047064129533,,OPT 1.3B
0,Input X Gradient,,0.4972863297266997,OPT 1.3B
1,Integrated Gradients,,0.8578818680070185,OPT 1.3B
2,Gradient Shap,,0.6964420234528983,OPT 1.3B
3,Attention Rollout,,0.3534903026980813,OPT 1.3B
4,Attention Last,,0.3210980821964138,OPT 1.3B
5,Attention,,-0.09216400722822453,OPT 1.3B
6,Ours,,7.1038329574617505,OPT 1.3B
0,Input X Gradient,0.36502795060776416,,OPT 6.7B
1,Integrated Gradients,0.4810599621575847,,OPT 6.7B
2,Gradient Shap,0.8963309234133072,,OPT 6.7B
3,Attention Rollout,-0.5232116247769786,,OPT 6.7B
4,Attention Last,-1.047562221833898,,OPT 6.7B
5,Attention,0.3274487351558761,,OPT 6.7B
6,Ours,1.0393982392508005,,OPT 6.7B
0,Input X Gradient,,1.465966877787228,OPT 6.7B
1,Integrated Gradients,,0.6669303241442048,OPT 6.7B
2,Gradient Shap,,0.1217932044750504,OPT 6.7B
3,Attention Rollout,,0.6004110963923265,OPT 6.7B
4,Attention Last,,0.8393153010834301,OPT 6.7B
5,Attention,,-0.42639107233336676,OPT 6.7B
6,Ours,,4.18798920143669,OPT 6.7B
0,Input X Gradient,0.7837923019309748,,GPT-J 6B
1,Integrated Gradients,1.9231807618111987,,GPT-J 6B
2,Gradient Shap,0.4973752423703137,,GPT-J 6B
3,Attention Rollout,0.11356515324802514,,GPT-J 6B
4,Attention Last,0.303306252432884,,GPT-J 6B
5,Attention,0.6796457705147265,,GPT-J 6B
6,Ours,1.7639053777195541,,GPT-J 6B
0,Input X Gradient,,1.6520443910816074,GPT-J 6B
1,Integrated Gradients,,4.885189435806379,GPT-J 6B
2,Gradient Shap,,0.9480527123297107,GPT-J 6B
3,Attention Rollout,,0.01542337908902713,GPT-J 6B
4,Attention Last,,-0.349644982263953,GPT-J 6B
5,Attention,,-0.6711984144028678,GPT-J 6B
6,Ours,,5.477141140327457,GPT-J 6B
