,FAs,Soft Suff,Soft Comp,Model
0,Input X Gradient,-0.0011964710636429,,OPT 350M
1,Integrated Gradients,0.000628481031473,,OPT 350M
2,Gradient Shap,-0.00010396174303800001,,OPT 350M
3,Attention Rollout,-0.0005165870776587,,OPT 350M
4,Attention Last,0.0016539536453088997,,OPT 350M
5,Attention,-0.0006212279485237001,,OPT 350M
6,Ours,-0.0006956152877517,,OPT 350M
0,Input X Gradient,,0.02581324498291719,OPT 350M
1,Integrated Gradients,,0.03813761760916441,OPT 350M
2,Gradient Shap,,0.048482742728829506,OPT 350M
3,Attention Rollout,,-0.004567671369318599,OPT 350M
4,Attention Last,,-0.009799171882017205,OPT 350M
5,Attention,,0.020070182877192005,OPT 350M
6,Ours,,0.5105251348387617,OPT 350M
0,Input X Gradient,-0.0004900685052261999,,GPT2 354M
1,Integrated Gradients,2.6724319794100052e-05,,GPT2 354M
2,Gradient Shap,0.00032346733377469996,,GPT2 354M
3,Attention Rollout,1.9535177415300003e-05,,GPT2 354M
4,Attention Last,0.00021784914129640003,,GPT2 354M
5,Attention,7.977976276340006e-05,,GPT2 354M
6,Ours,0.006503077049646699,,GPT2 354M
0,Input X Gradient,,0.053180036484636,GPT2 354M
1,Integrated Gradients,,0.027628557763470202,GPT2 354M
2,Gradient Shap,,0.030196961806707,GPT2 354M
3,Attention Rollout,,0.001506832921578799,GPT2 354M
4,Attention Last,,0.001658005857493601,GPT2 354M
5,Attention,,-0.00020270818722920025,GPT2 354M
6,Ours,,0.1087566118598769,GPT2 354M
0,Input X Gradient,-0.0023155270521829996,,GPT2 1.5B
1,Integrated Gradients,-0.0016996705866001,,GPT2 1.5B
2,Gradient Shap,-0.0029294841087532,,GPT2 1.5B
3,Attention Rollout,0.00025584520305149943,,GPT2 1.5B
4,Attention Last,0.0004450423277760993,,GPT2 1.5B
5,Attention,0.0006534518254748007,,GPT2 1.5B
6,Ours,0.0042704897391791,,GPT2 1.5B
0,Input X Gradient,,0.0248944736093848,GPT2 1.5B
1,Integrated Gradients,,0.012616235464793199,GPT2 1.5B
2,Gradient Shap,,0.0177617569737073,GPT2 1.5B
3,Attention Rollout,,0.0005134858873996999,GPT2 1.5B
4,Attention Last,,0.00011025836616739958,GPT2 1.5B
5,Attention,,-0.00010530054879430081,GPT2 1.5B
6,Ours,,0.25264827133774637,GPT2 1.5B
0,Input X Gradient,-0.0009676392483563001,,OPT 1.3B
1,Integrated Gradients,0.0011473594180692005,,OPT 1.3B
2,Gradient Shap,0.0014538746203548998,,OPT 1.3B
3,Attention Rollout,-9.710044515490006e-05,,OPT 1.3B
4,Attention Last,0.0009995334673877,,OPT 1.3B
5,Attention,0.00015464215513930003,,OPT 1.3B
6,Ours,0.0036702003052265,,OPT 1.3B
0,Input X Gradient,,0.0032751786067182,OPT 1.3B
1,Integrated Gradients,,0.0033608858761149003,OPT 1.3B
2,Gradient Shap,,0.0030928613783855006,OPT 1.3B
3,Attention Rollout,,0.0003692320335354996,OPT 1.3B
4,Attention Last,,0.0016225125157253006,OPT 1.3B
5,Attention,,0.0005854708396684002,OPT 1.3B
6,Ours,,0.24067361448323218,OPT 1.3B
0,Input X Gradient,-0.0015737730642788998,,OPT 6.7B
1,Integrated Gradients,0.0014040034984636,,OPT 6.7B
2,Gradient Shap,-0.0003223625290865999,,OPT 6.7B
3,Attention Rollout,-0.0009432804864821,,OPT 6.7B
4,Attention Last,0.0008152794986516002,,OPT 6.7B
5,Attention,0.0024882040425733,,OPT 6.7B
6,Ours,0.0029655205381837,,OPT 6.7B
0,Input X Gradient,,0.006161102722804501,OPT 6.7B
1,Integrated Gradients,,0.00016567180411,OPT 6.7B
2,Gradient Shap,,0.0008055774318028999,OPT 6.7B
3,Attention Rollout,,0.0015017332920077,OPT 6.7B
4,Attention Last,,0.0023844373718556995,OPT 6.7B
5,Attention,,0.0010478278076500001,OPT 6.7B
6,Ours,,0.27098795711025564,OPT 6.7B
0,Input X Gradient,0.008411985291691602,,GPT-J 6B
1,Integrated Gradients,0.014791466263836598,,GPT-J 6B
2,Gradient Shap,0.0027943416001356995,,GPT-J 6B
3,Attention Rollout,0.0002534925363711,,GPT-J 6B
4,Attention Last,-0.0001714254432713001,,GPT-J 6B
5,Attention,-0.0011458334297675,,GPT-J 6B
6,Ours,0.022171801153184498,,GPT-J 6B
0,Input X Gradient,,0.0230776629375884,GPT-J 6B
1,Integrated Gradients,,0.1211144427379279,GPT-J 6B
2,Gradient Shap,,0.014409695436381301,GPT-J 6B
3,Attention Rollout,,0.00020744792606169904,GPT-J 6B
4,Attention Last,,0.00032181401437409926,GPT-J 6B
5,Attention,,0.0009156900792302008,GPT-J 6B
6,Ours,,0.2404635654067775,GPT-J 6B
